Length,Time_Diff,FlowID,Protocol_UDP,Actual_App,Predicted_With_FlowID,Predicted_Without_FlowID
86,1.1920928955078123e-05,35,False,youtube,youtube,youtube
123,0.0010080337524414,7,True,zoom,zoom,zoom
86,2.5033950805664062e-05,35,False,youtube,youtube,youtube
86,6.604194641113281e-05,35,False,youtube,youtube,youtube
86,7.510185241699219e-05,42,False,google,google,spotify
343,0.0056819915771484,16,True,zoom,zoom,zoom
102,9.5367431640625e-07,4,True,zoom,zoom,zoom
26458,0.003645896911621,35,False,youtube,youtube,firefox
178,0.000241994857788,42,False,google,google,google
158,0.0077569484710693,16,True,zoom,zoom,zoom
74,0.0132520198822021,7,False,firefox,firefox,firefox
86,0.0074388980865478,28,False,spotify,spotify,spotify
1278,0.0040590763092041,6,True,zoom,zoom,zoom
143,0.0192680358886718,7,True,zoom,zoom,zoom
86,9.5367431640625e-07,42,False,google,google,youtube
145,0.0049700736999511,79,False,firefox,firefox,zoom
215,0.0264890193939209,43,False,firefox,firefox,firefox
132,5.412101745605469e-05,35,False,youtube,youtube,youtube
316,0.0144879817962646,7,True,zoom,zoom,zoom
155,0.0,35,False,youtube,youtube,youtube
194,0.0002028942108154,15,True,zoom,zoom,firefox
66,1.4066696166992188e-05,44,False,firefox,firefox,zoom
1466,0.0,1,False,firefox,firefox,firefox
133,0.0,35,False,youtube,youtube,zoom
1294,0.0001327991485595,42,False,google,google,google
1294,0.0,42,False,google,google,google
105,0.0001189708709716,44,False,firefox,firefox,firefox
1054,0.0068681240081787,42,False,google,google,zoom
248,0.0219829082489013,16,True,zoom,zoom,zoom
130,0.0009620189666748,45,False,firefox,firefox,firefox
1078,0.0012400150299072,7,True,zoom,zoom,zoom
1250,0.0,6,True,zoom,zoom,zoom
86,8.893013000488281e-05,28,False,spotify,spotify,spotify
66,2.5987625122070312e-05,8,False,firefox,firefox,firefox
124,0.0025410652160644,35,False,youtube,youtube,youtube
1303,0.0020499229431152,6,True,zoom,zoom,zoom
123,4.100799560546875e-05,12,True,zoom,zoom,spotify
1220,0.0,6,True,zoom,zoom,zoom
86,1.9073486328125e-05,28,False,spotify,spotify,youtube
86,8.797645568847656e-05,42,False,google,google,google
86,5.602836608886719e-05,35,False,youtube,youtube,youtube
1202,0.0018870830535888,6,True,zoom,zoom,zoom
66,0.0052230358123779,2,False,zoom,zoom,youtube
1244,0.0,6,True,zoom,zoom,zoom
86,0.0001049041748046,35,False,youtube,youtube,google
1154,0.0,6,True,zoom,zoom,zoom
1466,9.5367431640625e-07,79,False,firefox,firefox,firefox
306,0.0026211738586425,16,True,zoom,zoom,zoom
1474,0.0001587867736816,28,False,spotify,spotify,youtube
1138,0.0,6,True,zoom,zoom,zoom
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
426,5.0067901611328125e-06,42,False,google,google,google
1191,0.0,6,True,zoom,zoom,spotify
1233,0.0,6,True,zoom,zoom,zoom
144,0.0102038383483886,7,True,zoom,zoom,zoom
1294,0.0,42,False,google,google,google
86,0.0009698867797851,42,False,google,google,youtube
1294,0.0,42,False,google,google,google
1302,0.0001308917999267,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1294,0.0,42,False,google,google,google
125,0.0026040077209472,42,False,google,google,google
185,0.0038039684295654,35,False,youtube,youtube,youtube
105,0.0,79,False,firefox,firefox,firefox
1175,0.0,6,True,zoom,zoom,zoom
106,0.0010030269622802,7,True,zoom,zoom,zoom
341,0.0027470588684082,16,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
132,0.0003018379211425,28,False,spotify,spotify,youtube
2862,0.0001790523529052,35,False,youtube,youtube,youtube
117,0.0005738735198974,42,False,google,google,google
86,1.0013580322265623e-05,42,False,google,google,youtube
155,0.0047979354858398,69,True,firefox,firefox,zoom
283,0.0069539546966552,16,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1176,0.0012009143829345,6,True,zoom,zoom,zoom
178,0.0003139972686767,42,False,google,google,google
1294,0.0,35,False,youtube,youtube,google
318,0.022813081741333,16,True,zoom,zoom,zoom
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,0.0001828670501708,28,False,spotify,spotify,google
1078,0.0,7,True,zoom,zoom,zoom
1293,1.1920928955078125e-06,6,True,zoom,zoom,zoom
86,0.0,35,False,youtube,youtube,youtube
1267,0.0001568794250488,6,True,zoom,zoom,zoom
731,0.0,35,False,youtube,youtube,google
359,0.0001730918884277,16,True,zoom,zoom,zoom
86,3.2901763916015625e-05,35,False,youtube,youtube,google
5638,0.000680923461914,35,False,youtube,youtube,youtube
1246,0.0,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,0.0092608928680419,21,False,zoom,zoom,zoom
1078,0.0069530010223388,7,True,zoom,zoom,zoom
1256,0.0090830326080322,6,True,zoom,zoom,zoom
97,0.0,79,False,firefox,firefox,firefox
151,0.0022370815277099,12,True,zoom,zoom,zoom
66,0.0035970211029052,5,False,firefox,firefox,firefox
129,0.0016160011291503,31,True,google,google,youtube
123,0.0008978843688964,4,True,zoom,zoom,zoom
1266,8.893013000488281e-05,6,True,zoom,zoom,zoom
153,0.0152268409729003,7,True,zoom,zoom,zoom
66,9.393692016601562e-05,44,False,firefox,firefox,youtube
1271,0.0,6,True,zoom,zoom,zoom
3906,0.0030360221862792,42,False,google,google,youtube
1078,0.0,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
132,0.000230073928833,28,False,spotify,spotify,youtube
1221,0.0055859088897705,6,True,zoom,zoom,zoom
1263,0.0159151554107666,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
453,5.960464477539063e-06,42,False,google,google,google
125,0.0001449584960937,42,False,google,google,google
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
104,0.0001640319824218,10,False,zoom,zoom,zoom
731,4.0531158447265625e-06,42,False,google,google,google
2476,0.0001327991485595,35,False,youtube,youtube,youtube
877,0.0007591247558593,42,False,google,google,spotify
21401,0.0003800392150878,28,False,spotify,spotify,firefox
105,0.0,79,False,firefox,firefox,firefox
1078,0.0,7,True,zoom,zoom,zoom
1209,0.0,6,True,zoom,zoom,zoom
195,0.0030150413513183,59,True,firefox,firefox,zoom
86,9.5367431640625e-07,28,False,spotify,spotify,youtube
1078,0.0,7,True,zoom,zoom,zoom
86,0.0,35,False,youtube,youtube,youtube
1474,0.0001008510589599,35,False,youtube,youtube,youtube
135,1.1920928955078125e-06,79,False,firefox,firefox,zoom
86,3.409385681152344e-05,35,False,youtube,youtube,youtube
145,0.0045399665832519,7,True,zoom,zoom,zoom
132,0.0006370544433593,35,False,youtube,youtube,youtube
86,0.0034759044647216,42,False,google,google,spotify
274,0.0091960430145263,7,True,zoom,zoom,zoom
86,3.600120544433594e-05,35,False,youtube,youtube,google
30622,0.0,35,False,youtube,youtube,youtube
1078,0.0,7,True,zoom,zoom,zoom
7708,0.0,42,False,google,google,youtube
1078,0.0005640983581542,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
1085,0.0075829029083251,7,True,zoom,zoom,zoom
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
66,6.413459777832031e-05,3,False,youtube,youtube,firefox
86,1.9073486328125e-05,28,False,spotify,spotify,youtube
97,0.0,80,False,firefox,firefox,firefox
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
86,0.0017268657684326,28,False,spotify,spotify,google
1078,0.0015480518341064,7,True,zoom,zoom,zoom
1275,0.0031108856201171,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,0.0028700828552246,42,False,google,google,youtube
106,0.0012919902801513,16,True,zoom,zoom,zoom
204,0.0005469322204589,15,True,zoom,zoom,zoom
86,1.6927719116210938e-05,35,False,youtube,youtube,youtube
1294,0.0,42,False,google,google,google
86,0.0054230690002441,42,False,google,google,zoom
1294,0.0,28,False,spotify,spotify,google
1294,0.0,42,False,google,google,google
1247,9.5367431640625e-07,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
66,0.0046429634094238,1,False,zoom,zoom,zoom
163,0.0017330646514892,16,True,zoom,zoom,zoom
796,0.0692880153656005,35,False,youtube,youtube,google
1155,9.5367431640625e-07,6,True,zoom,zoom,zoom
1268,0.0,6,True,zoom,zoom,zoom
1279,0.0,6,True,zoom,zoom,zoom
381,0.0,35,False,youtube,youtube,youtube
306,0.0015010833740234,16,True,zoom,zoom,zoom
117,0.0006599426269531,42,False,google,google,google
1078,0.0113251209259033,7,True,zoom,zoom,zoom
